stop_id,stop_name,stop_lat,stop_lon,route_type,wheelchair_boarding
STXU1,St-Exupéry,47.15282524,-1.59480732,3,2
MLNE1,Moulinets,47.20991436,-1.62897353,3,1
HALA1,Haluchère - Batignolles,47.24891455,-1.52204605,3,1
GRTE2,Garotterie,47.22423142,-1.60693971,3,2
CADO2,Cadoire,47.25676518,-1.48811927,3,2
RDMV2,Rue de Mauves,47.27155996,-1.43258546,3,1
FRA59,Frachon,47.21895013,-1.62022527,3,1
VDLO2,Vieux Doulon,47.23543282,-1.5040298,3,1
SMIC1,St-Michel,47.22413488,-1.6443851,3,1
BJOI7,Beaujoire,47.25920163,-1.52785674,3,1
ALCH1,Champ de l'Alouette,47.28291888,-1.5801618,3,1
AUCP1,La Chapelle Aulnay,47.30818557,-1.54315164,3,1
SJBO1,St-Jean-de-Boiseau,47.19587465,-1.72479352,3,1
FLEU3,Fleuriaye,47.29923921,-1.50013248,3,1
PRUT2,Proutière,47.19778933,-1.78062875,3,1
FANE1,Faneurs,47.21370814,-1.70275248,3,1
COUD1,Coudray,47.2325425,-1.54236776,3,1
BUON1,Bougon,47.17418788,-1.61066406,3,2
DPTE1,Déportés,47.19633089,-1.49179469,3,1
BSEJ4,Beauséjour,47.23811486,-1.58713593,3,1
MRTE3,Marterie,47.17840473,-1.53049989,3,1
BEIL2,Beillevaire,47.24938735,-1.60726607,3,1
MGIN6,Mangin,47.20073835,-1.54555203,3,2
SVAU2,Savaudière,47.28929766,-1.51480478,3,2
STHR2,Alexandre Vincent - Ste-Thérèse,47.23268964,-1.577319,0,1
CRA99,Clairais,47.27556043,-1.43858807,3,1
COMC1,Commerce,47.21358587,-1.55592472,0,1
PCSI2,Petite Censive,47.26131814,-1.56416471,3,1
BENA2,Beaulieu,47.20393339,-1.53713804,3,1
FRMO1,Frémoire,47.15238287,-1.47497712,3,2
MLDR2,Maladrie,47.18833937,-1.49624089,3,1
CVDO1,Cimetière Vieux Doulon,47.23849235,-1.50040266,3,1
COME1,Commerce,47.21476115,-1.55600758,0,1
LAGE1,Largeau,47.19558785,-1.51009892,3,2
LRCH2,La Roche,47.21683018,-1.51805849,3,1
CCOU1,Champ de Courses,47.24451408,-1.56122079,3,1
HAVE3,Halvêque,47.25946702,-1.51874238,3,1
CHER2,La Cochère,47.20271109,-1.77821459,3,2
GSEN1,Grasse Noue,47.28025429,-1.5818988,3,2
ARBO2,Arbois,47.25838461,-1.58210153,3,2
DIDE3,Espace Diderot,47.18448466,-1.56299568,3,2
LILA1,Lilas,47.13774367,-1.46888716,3,2
GROR2,Garenne,47.26519412,-1.62747924,3,1
PIRD2,Pirmil,47.19598667,-1.54295176,3,1
BELE2,Bêle,47.26493211,-1.51062132,3,1
WDIS2,Walt Disney,47.19494093,-1.48998681,3,2
GERA5,Géraudière,47.26214561,-1.56640811,3,2
UBRU2,Usine Brûlée,47.19490872,-1.63189602,3,2
HALA2,Haluchère - Batignolles,47.24923231,-1.52240098,3,1
ECSU4,École Centrale - Audencia,47.24892515,-1.55106655,3,2
JAL99,Jalière,47.26390431,-1.596195,3,1
EPYY1,Epinay,47.29234172,-1.48690687,3,2
CHFL1,Champ Fleuri,47.14378619,-1.52472062,3,1
LPME2,La Plume,47.19490959,-1.505189,3,2
DLCR1,Delacroix,47.22365838,-1.58924196,3,1
PNRZ1,Pinier,47.1816115,-1.54534604,3,1
HRLL1,Hérelle,47.20141474,-1.5866322,3,1
VRPD1,Vert Praud,47.16650994,-1.5498311,3,1
BORL2,Bourrelière,47.15833317,-1.498414,3,2
PTBO1,Petit Bois,47.18570669,-1.67739063,3,1
FRET1,Forêt,47.24432176,-1.57538371,3,1
